repo,pr_number,dependency,old_version,new_version,ecosystem,before_sha,after_sha,before_result,after_result,classification,failure_point,reproduced,confidence,reproduction_attempts,network_policy,log_paths,notes,created_at,title,created_at,source_dataset
katiayn/pyconbalkan,39,django,1.11.11,1.11.21,pip,9749011db63078210f0bbfde0b42267749483bd9,a91dd523ed47f681eb4c4e08b95c1f498e361d4f,INSTALL,INSTALL,FAIL->FAIL,,0,medium,1,,"[""C:\\depbot-work\\execution_logs\\katiayn__pyconbalkan__pr39\\katiayn__pyconbalkan__pr39__BEFORE__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\katiayn__pyconbalkan__pr39\\katiayn__pyconbalkan__pr39__BEFORE__INSTALL__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\katiayn__pyconbalkan__pr39\\katiayn__pyconbalkan__pr39__AFTER__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\katiayn__pyconbalkan__pr39\\katiayn__pyconbalkan__pr39__AFTER__INSTALL__att1.stderr.txt""]",,2026-07-24 02:16:38,build(deps): [security] bump django from 1.11.11 to 1.11.21,2019-06-17 06:43:00,partition1_xlsx
mattstibbs/blockbuster-server,234,cryptography,2.2.2,2.3.1,pip,c387746666e33d76e5536a46b0f2fb4e8c62602c,4e2daaeece7938fe24be577ee894f61a6136090c,INSTALL,INSTALL,FAIL->FAIL,,0,medium,1,,"[""C:\\depbot-work\\execution_logs\\mattstibbs__blockbuster-server__pr234\\mattstibbs__blockbuster-server__pr234__BEFORE__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\mattstibbs__blockbuster-server__pr234\\mattstibbs__blockbuster-server__pr234__BEFORE__INSTALL__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\mattstibbs__blockbuster-server__pr234\\mattstibbs__blockbuster-server__pr234__AFTER__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\mattstibbs__blockbuster-server__pr234\\mattstibbs__blockbuster-server__pr234__AFTER__INSTALL__att1.stderr.txt""]",,2026-07-24 02:17:23,[Security] Bump cryptography from 2.2.2 to 2.3.1,2018-10-10 05:15:06,partition1_xlsx
mattstibbs/blockbuster-server,306,werkzeug,0.14.1,0.15.3,pip,6a37b8aba7543c707a4a24f51a5d759f06615b84,863369caca5c9219f2d5888aa2c7ed02fc269f38,INSTALL,INSTALL,FAIL->FAIL,,0,medium,1,,"[""C:\\depbot-work\\execution_logs\\mattstibbs__blockbuster-server__pr306\\mattstibbs__blockbuster-server__pr306__BEFORE__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\mattstibbs__blockbuster-server__pr306\\mattstibbs__blockbuster-server__pr306__BEFORE__INSTALL__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\mattstibbs__blockbuster-server__pr306\\mattstibbs__blockbuster-server__pr306__AFTER__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\mattstibbs__blockbuster-server__pr306\\mattstibbs__blockbuster-server__pr306__AFTER__INSTALL__att1.stderr.txt""]",,2026-07-24 02:17:58,[Security] Bump werkzeug from 0.14.1 to 0.15.3,2019-08-21 16:21:00,partition1_xlsx
flxwu/contest.io,296,jinja2,2.10,2.10.1,pip,efe787876f3b155efc97d4092db1b727a94251e0,a4bc77e5d624344eb9429aa2445dca3eb4722704,INSTALL,INSTALL,FAIL->FAIL,,0,medium,1,,"[""C:\\depbot-work\\execution_logs\\flxwu__contest.io__pr296\\flxwu__contest.io__pr296__BEFORE__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\flxwu__contest.io__pr296\\flxwu__contest.io__pr296__BEFORE__INSTALL__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\flxwu__contest.io__pr296\\flxwu__contest.io__pr296__AFTER__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\flxwu__contest.io__pr296\\flxwu__contest.io__pr296__AFTER__INSTALL__att1.stderr.txt""]",,2026-07-24 02:19:20,[Security] Bump jinja2 from 2.10 to 2.10.1,2019-04-12 18:27:38,partition1_xlsx
BMeu/Orchard,245,werkzeug,0.14.1,0.15.3,pip,2ab0eaf1ca2bfe695f4f11b8610d9738c26ba9f6,9ace2f9a89a7e6953e5df956c55ae82c5ff7a030,INSTALL,INSTALL,FAIL->FAIL,,0,medium,1,,"[""C:\\depbot-work\\execution_logs\\BMeu__Orchard__pr245\\BMeu__Orchard__pr245__BEFORE__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\BMeu__Orchard__pr245\\BMeu__Orchard__pr245__BEFORE__INSTALL__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\BMeu__Orchard__pr245\\BMeu__Orchard__pr245__AFTER__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\BMeu__Orchard__pr245\\BMeu__Orchard__pr245__AFTER__INSTALL__att1.stderr.txt""]",,2026-07-24 02:20:26,[Security] Bump werkzeug from 0.14.1 to 0.15.3,2019-08-21 16:35:00,partition1_xlsx
sandhose/obs-matcher,30,cryptography,2.2.2,2.3.1,pip,aba1024a8960659cead882826851bd60c2e741a1,5776f2dcb6a4900617cbf7d6c5ca9e6719242ea4,INSTALL,INSTALL,FAIL->FAIL,,0,medium,1,,"[""C:\\depbot-work\\execution_logs\\sandhose__obs-matcher__pr30\\sandhose__obs-matcher__pr30__BEFORE__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\sandhose__obs-matcher__pr30\\sandhose__obs-matcher__pr30__BEFORE__INSTALL__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\sandhose__obs-matcher__pr30\\sandhose__obs-matcher__pr30__AFTER__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\sandhose__obs-matcher__pr30\\sandhose__obs-matcher__pr30__AFTER__INSTALL__att1.stderr.txt""]",,2026-07-24 02:21:00,[Security] Bump cryptography from 2.2.2 to 2.3.1,2018-08-24 14:12:43,partition1_xlsx
GirlDevelopItCentralVA/smiles,1,django,2.0.4,2.1.2,pip,e14ad4a2cd3761396c9548b8ea73b07dfde91b23,957ba2f9605ca06107a70619e28d41e90cf04c32,TEST,TEST,FAIL->FAIL,,0,medium,1,,"[""C:\\depbot-work\\execution_logs\\GirlDevelopItCentralVA__smiles__pr1\\GirlDevelopItCentralVA__smiles__pr1__BEFORE__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\GirlDevelopItCentralVA__smiles__pr1\\GirlDevelopItCentralVA__smiles__pr1__BEFORE__TEST__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\GirlDevelopItCentralVA__smiles__pr1\\GirlDevelopItCentralVA__smiles__pr1__BEFORE__INSTALL__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\GirlDevelopItCentralVA__smiles__pr1\\GirlDevelopItCentralVA__smiles__pr1__BEFORE__TEST__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\GirlDevelopItCentralVA__smiles__pr1\\GirlDevelopItCentralVA__smiles__pr1__AFTER__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\GirlDevelopItCentralVA__smiles__pr1\\GirlDevelopItCentralVA__smiles__pr1__AFTER__TEST__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\GirlDevelopItCentralVA__smiles__pr1\\GirlDevelopItCentralVA__smiles__pr1__AFTER__INSTALL__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\GirlDevelopItCentralVA__smiles__pr1\\GirlDevelopItCentralVA__smiles__pr1__AFTER__TEST__att1.stderr.txt""]",,2026-07-24 02:23:52,[Security] Bump django from 2.0.4 to 2.1.2,2018-10-08 22:40:00,partition1_xlsx
flxwu/contest.io,354,werkzeug,0.14.1,0.15.3,pip,efe787876f3b155efc97d4092db1b727a94251e0,44fcfa5973b82e9bd6718bd41705e72ad1eab7ae,INSTALL,INSTALL,FAIL->FAIL,,0,medium,1,,"[""C:\\depbot-work\\execution_logs\\flxwu__contest.io__pr354\\flxwu__contest.io__pr354__BEFORE__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\flxwu__contest.io__pr354\\flxwu__contest.io__pr354__BEFORE__INSTALL__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\flxwu__contest.io__pr354\\flxwu__contest.io__pr354__AFTER__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\flxwu__contest.io__pr354\\flxwu__contest.io__pr354__AFTER__INSTALL__att1.stderr.txt""]",,2026-07-24 02:25:12,build(deps): [security] bump werkzeug from 0.14.1 to 0.15.3,2019-08-21 16:30:00,partition1_xlsx
ken-matsui/gcf-seq2seq-linebot,5,flask,0.12.2,1.0.2,pip,c974109fe69062c79558e917726878a0e63b2688,f7e1832c6895ca4d99362023d0845b7e53cbcbb3,INSTALL,INSTALL,FAIL->FAIL,,0,medium,1,,"[""C:\\depbot-work\\execution_logs\\ken-matsui__gcf-seq2seq-linebot__pr5\\ken-matsui__gcf-seq2seq-linebot__pr5__BEFORE__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\ken-matsui__gcf-seq2seq-linebot__pr5\\ken-matsui__gcf-seq2seq-linebot__pr5__BEFORE__INSTALL__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\ken-matsui__gcf-seq2seq-linebot__pr5\\ken-matsui__gcf-seq2seq-linebot__pr5__AFTER__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\ken-matsui__gcf-seq2seq-linebot__pr5\\ken-matsui__gcf-seq2seq-linebot__pr5__AFTER__INSTALL__att1.stderr.txt""]",,2026-07-24 02:27:46,[Security] Bump flask from 0.12.2 to 1.0.2,2018-09-04 06:54:02,partition1_xlsx
lazycoderio/Security-Testing-Selenium-Jenkins,41,django,1.11.7,2.1.1,pip,7154ba91304fbed835b16f123f1c65100b2875e9,ac83eca7ef1b5679956251de4da61db20f0eff5f,INSTALL,INSTALL,FAIL->FAIL,,0,medium,1,,"[""C:\\depbot-work\\execution_logs\\lazycoderio__Security-Testing-Selenium-Jenkins__pr41\\lazycoderio__Security-Testing-Selenium-Jenkins__pr41__BEFORE__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\lazycoderio__Security-Testing-Selenium-Jenkins__pr41\\lazycoderio__Security-Testing-Selenium-Jenkins__pr41__BEFORE__INSTALL__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\lazycoderio__Security-Testing-Selenium-Jenkins__pr41\\lazycoderio__Security-Testing-Selenium-Jenkins__pr41__AFTER__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\lazycoderio__Security-Testing-Selenium-Jenkins__pr41\\lazycoderio__Security-Testing-Selenium-Jenkins__pr41__AFTER__INSTALL__att1.stderr.txt""]",,2026-07-24 02:29:32,[Security] Bump django from 1.11.7 to 2.1.1,2018-08-31 10:13:36,partition1_xlsx
mwarkentin/stats.shrinkray.io,45,flask,0.10.1,1.0,pip,278e3dcaaa199ce7b23fa57dbd88806b4fab487f,e56429ef071775e56017ad11c17f3f50db742c28,INSTALL,INSTALL,FAIL->FAIL,,0,medium,1,,"[""C:\\depbot-work\\execution_logs\\mwarkentin__stats.shrinkray.io__pr45\\mwarkentin__stats.shrinkray.io__pr45__BEFORE__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\mwarkentin__stats.shrinkray.io__pr45\\mwarkentin__stats.shrinkray.io__pr45__BEFORE__INSTALL__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\mwarkentin__stats.shrinkray.io__pr45\\mwarkentin__stats.shrinkray.io__pr45__AFTER__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\mwarkentin__stats.shrinkray.io__pr45\\mwarkentin__stats.shrinkray.io__pr45__AFTER__INSTALL__att1.stderr.txt""]",,2026-07-24 02:29:59,[Security] Bump flask from 0.10.1 to 1.0,2019-07-22 11:15:00,partition1_xlsx
mattstibbs/blockbuster-server,268,jinja2,2.10,2.10.1,pip,6a37b8aba7543c707a4a24f51a5d759f06615b84,b3af705e4fb03eb75fa7e54e40df288219d5ce56,INSTALL,INSTALL,FAIL->FAIL,,0,medium,1,,"[""C:\\depbot-work\\execution_logs\\mattstibbs__blockbuster-server__pr268\\mattstibbs__blockbuster-server__pr268__BEFORE__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\mattstibbs__blockbuster-server__pr268\\mattstibbs__blockbuster-server__pr268__BEFORE__INSTALL__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\mattstibbs__blockbuster-server__pr268\\mattstibbs__blockbuster-server__pr268__AFTER__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\mattstibbs__blockbuster-server__pr268\\mattstibbs__blockbuster-server__pr268__AFTER__INSTALL__att1.stderr.txt""]",,2026-07-24 17:30:59,[Security] Bump jinja2 from 2.10 to 2.10.1,2019-04-12 18:28:29,partition1_xlsx
moneypark/whydjango,271,django,1.11.11,1.11.16,pip,f33a430d0a746d237e1e3d97917c979f29bb2a44,682f5b436c454315b876a3d28a007c5176d306fa,INSTALL,INSTALL,FAIL->FAIL,,0,medium,1,,"[""C:\\depbot-work\\execution_logs\\moneypark__whydjango__pr271\\moneypark__whydjango__pr271__BEFORE__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\moneypark__whydjango__pr271\\moneypark__whydjango__pr271__BEFORE__INSTALL__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\moneypark__whydjango__pr271\\moneypark__whydjango__pr271__AFTER__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\moneypark__whydjango__pr271\\moneypark__whydjango__pr271__AFTER__INSTALL__att1.stderr.txt""]",,2026-07-24 17:31:24,[Security] Bump django from 1.11.11 to 1.11.16,2018-10-08 02:13:53,partition1_xlsx
BMeu/Orchard,192,jinja2,2.10,2.10.1,pip,49cd7d660d41c9ed66782d065ba715f9304da42c,3188dc8926d9a51ef1947eff7a520499ae971e46,INSTALL,INSTALL,FAIL->FAIL,,0,medium,1,,"[""C:\\depbot-work\\execution_logs\\BMeu__Orchard__pr192\\BMeu__Orchard__pr192__BEFORE__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\BMeu__Orchard__pr192\\BMeu__Orchard__pr192__BEFORE__INSTALL__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\BMeu__Orchard__pr192\\BMeu__Orchard__pr192__AFTER__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\BMeu__Orchard__pr192\\BMeu__Orchard__pr192__AFTER__INSTALL__att1.stderr.txt""]",,2026-07-24 17:32:24,[Security] Bump jinja2 from 2.10 to 2.10.1,2019-04-12 18:28:18,partition1_xlsx
